UF;NACIONALIDADE;CLASSIFICACAO;QTD
ES;VENEZUELA;Residente;454
ES;INDIA;Temporário;58
ES;ITÁLIA;Residente;839
ES;ESTADOS UNIDOS;Temporário;35
ES;VENEZUELA;Temporário;523
ES;PERU;Residente;226
ES;CHILE;Residente;309
ES;CORÉIA DO SUL;Residente;66
ES;ARGENTINA;Residente;469
ES;COLÔMBIA;Residente;502
ES;PORTUGAL;Residente;1316
ES;POLÔNIA;Temporário;17
ES;EL SALVADOR;Residente;11
ES;ALEMANHA;Residente;294
ES;URUGUAI;Residente;136
ES;BANGLADESH;Temporário;6
ES;PAÍSES BAIXOS;Residente;73
ES;CUBA;Residente;207
ES;ESTADOS UNIDOS;Residente;386
ES;BANGLADESH;Residente;39
ES;UCRÂNIA;Residente;18
ES;CHINA;Residente;333
ES;LÍBIA;Residente;76
ES;REINO UNIDO;Residente;125
ES;GUINÉ BISSAU;Residente;45
ES;FRANÇA;Residente;194
ES;JAPÃO;Residente;215
ES;ANGOLA;Residente;67
ES;ESPANHA;Residente;250
ES;IRLANDA;Temporário;3
ES;NIGÉRIA;Residente;8
ES;REINO UNIDO;Temporário;88
ES;EQUADOR;Residente;47
ES;LÍBANO;Residente;69
ES;HAITI;Residente;81
ES;TURQUIA;Residente;22
ES;NORUEGA;Residente;30
ES;SUÍCA;Residente;96
ES;PARAGUAI;Residente;59
ES;BÉLGICA;Residente;43
ES;SAO TOMÉ E PRÍNCIPE;Residente;2
ES;EQUADOR;Temporário;13
ES;VENEZUELA;Provisório;57
ES;PERU;Temporário;61
ES;COLÔMBIA;Temporário;329
ES;BOLÍVIA;Residente;186
ES;ROMÊNIA;Residente;9
ES;MÉXICO;Residente;59
ES;UCRÂNIA;Temporário;9
ES;SENEGAL;Residente;49
ES;ANGOLA;Temporário;7
ES;GRÉCIA;Residente;37
ES;CANADÁ;Residente;66
ES;FILIPINAS;Residente;28
ES;PAÍSES BAIXOS;Temporário;15
ES;FINLÂNDIA;Temporário;1
ES;HONDURAS;Temporário;4
ES;DINAMARCA;Residente;20
ES;ITÁLIA;Temporário;17
ES;HAITI;Temporário;12
ES;CUBA;Provisório;54
ES;FILIPINAS;Temporário;21
ES;MOÇAMBIQUE;Temporário;14
ES;FINLÂNDIA;Residente;11
ES;CROÁCIA;Temporário;6
ES;COSTA RICA;Residente;9
ES;ANGOLA;Provisório;6
ES;SUÉCIA;Residente;31
ES;CHINA;Temporário;7
ES;INDONÉSIA;Temporário;7
ES;FRANÇA;Temporário;13
ES;POLÔNIA;Residente;56
ES;ARGÉLIA;Residente;8
ES;INDONÉSIA;Residente;7
ES;JORDÂNIA;Residente;8
ES;AFRICA DO SUL;Residente;13
ES;CHILE;Temporário;14
ES;CROÁCIA;Residente;9
ES;SUDÃO;Residente;2
ES;BÓSNIA-HERZEGOVINA;Residente;4
ES;ARGENTINA;Temporário;17
ES;MOÇAMBIQUE;Residente;12
ES;AUSTRIA;Residente;41
ES;RÚSSIA;Temporário;9
ES;CUBA;Temporário;23
ES;INDIA;Residente;34
ES;IRAQUE;Residente;1
ES;TUNÍSIA;Residente;6
ES;HUNGRIA;Residente;6
ES;REPÚBLICA TCHECA;Temporário;1
ES;GRÉCIA;Temporário;2
ES;NICARÁGUA;Residente;12
ES;AFRICA DO SUL;Temporário;8
ES;CINGAPURA;Residente;12
ES;TAILÂNDIA;Temporário;14
ES;GANA;Residente;2
ES;GABÃO;Temporário;3
ES;BÉLGICA;Temporário;5
ES;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;1
ES;RÚSSIA;Residente;42
ES;ISLÂNDIA;Residente;3
ES;GUINÉ BISSAU;Temporário;10
ES;CAMBOJA;Residente;1
ES;BOLÍVIA;Temporário;50
ES;SÍRIA;Residente;29
ES;FILIPINAS;Provisório;3
ES;CABO VERDE;Residente;19
ES;ISRAEL;Residente;7
ES;ALEMANHA;Temporário;11
ES;DINAMARCA;Temporário;4
ES;MÉXICO;Temporário;7
ES;GUINÉ EQUATORIAL;Temporário;3
ES;IRAQUE;Provisório;1
ES;AUSTRÁLIA;Residente;23
ES;MYANMAR;Residente;1
ES;AFEGANISTÃO;Residente;1
ES;PANAMÁ;Residente;14
ES;COLÔMBIA;Provisório;4
ES;SUÉCIA;Temporário;21
ES;SENEGAL;Temporário;3
ES;PORTUGAL;Temporário;9
ES;ESPANHA;Temporário;7
ES;REPÚBLICA TCHECA;Residente;7
ES;CAZAQUISTÃO;Residente;2
ES;IRÃ;Residente;2
ES;RÚSSIA;Provisório;2
ES;NORUEGA;Temporário;7
ES;EGITO;Residente;19
ES;NAMÍBIA;Temporário;1
ES;GÂMBIA;Residente;2
ES;BULGÁRIA;Temporário;8
ES;PARAGUAI;Temporário;6
ES;CINGAPURA;Temporário;10
ES;SAO TOMÉ E PRÍNCIPE;Temporário;2
ES;CAMARÕES;Residente;3
ES;MALÁSIA;Temporário;7
ES;CANADÁ;Temporário;4
ES;ETIÓPIA;Residente;2
ES;ROMÊNIA;Temporário;5
ES;REP. DOMINICANA;Residente;5
ES;NEPAL;Temporário;1
ES;ZIMBÁBUE;Residente;2
ES;GANA;Temporário;3
ES;COSTA DO MARFIM;Residente;2
ES;APÁTRIDA;Residente;4
ES;ARMÊNIA;Residente;3
ES;GUINÉ BISSAU;Provisório;2
ES;PAQUISTÃO;Residente;9
ES;HONDURAS;Residente;7
ES;QUÊNIA;Temporário;5
ES;CAMARÕES;Temporário;4
ES;BANGLADESH;Provisório;2
ES;PAPUA, NOVA GUINÉ;Residente;1
ES;NOVA ZELÂNDIA;Residente;7
ES;CAMARÕES;Provisório;3
ES;PALESTINA;Residente;9
ES;AFEGANISTÃO;Temporário;20
ES;SAMOA OCIDENTAL;Residente;1
ES;ESPANHA;Provisório;1
ES;MARROCOS;Residente;11
ES;TAILÂNDIA;Residente;3
ES;IRLANDA;Residente;11
ES;CABO VERDE;Temporário;6
ES;CONGO;Temporário;3
ES;BENIN;Residente;3
ES;REP. DOMINICANA;Temporário;1
ES;UZBEQUISTÃO;Residente;4
ES;MALÁSIA;Residente;8
ES;BELARUS;Residente;4
ES;MADAGASCAR;Residente;1
ES;SRI LANKA;Residente;1
ES;JAPÃO;Temporário;2
ES;SÉRVIA;Residente;5
ES;BULGÁRIA;Residente;7
ES;GUIANA FRANCESA;Residente;3
ES;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;2
ES;SERVIA E MONTENEGRO;Residente;3
ES;PANAMÁ;Temporário;1
ES;BENIN;Temporário;6
ES;ESTÔNIA;Residente;2
ES;QUÊNIA;Residente;2
ES;TRINIDAD E TOBAGO;Temporário;1
ES;MAURÍCIO;Residente;1
ES;ESLOVÁQUIA;Residente;3
ES;BURKINA FASO;Residente;1
ES;LUXEMBURGO;Residente;1
ES;LETÔNIA;Residente;1
ES;REP. MONTENEGRO;Temporário;1
ES;BARBADOS;Residente;1
ES;MALTA;Residente;2
ES;CONGO;Residente;3
ES;VIETINA;Residente;4
ES;TURQUIA;Temporário;1
ES;ESLOVÊNIA;Residente;3
ES;UNIÃO SOVIÉTICA;Residente;1
ES;TURQUIA;Provisório;2
ES;GUATEMALA;Residente;2
ES;REP. CENTRO AFRICANA;Temporário;1
ES;MOLDOVA;Provisório;1
ES;AUSTRIA;Temporário;3
ES;COSTA DO MARFIM;Temporário;2
ES;SÉRVIA;Temporário;1
ES;AUSTRÁLIA;Temporário;2
ES;LITUÂNIA;Residente;2
ES;SENEGAL;Provisório;1
ES;IÊMEN;Residente;1
ES;BAHAMA,IS;Residente;1
ES;CABO VERDE;Provisório;1
ES;ARÁBIA SAUDITA;Residente;3
ES;ARGENTINA;Provisório;1
ES;HONG-KONG (R.A.E.);Residente;1
ES;NIGÉRIA;Provisório;1
ES;MOÇAMBIQUE;Provisório;1
ES;ZÂMBIA;Residente;1
ES;TCHECOSLOVAQUIA;Residente;1
ES;GEÓRGIA;Residente;2
ES;UGANDA;Residente;1
ES;LIBÉRIA;Residente;1
ES;GUIANA;Residente;1
PR;VENEZUELA;Temporário;31343
PR;VENEZUELA;Residente;14255
PR;PAÍSES BAIXOS;Residente;567
PR;HAITI;Residente;19004
PR;PERU;Residente;1404
PR;ISLÂNDIA;Residente;6
PR;URUGUAI;Residente;978
PR;CHINA;Residente;3262
PR;COLÔMBIA;Provisório;62
PR;PORTUGAL;Residente;4019
PR;ESTADOS UNIDOS;Residente;1415
PR;EQUADOR;Temporário;129
PR;INDIA;Residente;304
PR;ALEMANHA;Residente;1699
PR;ARGENTINA;Residente;5732
PR;BOLÍVIA;Residente;891
PR;CONGO;Residente;60
PR;CHILE;Residente;1550
PR;MOÇAMBIQUE;Temporário;72
PR;NIGÉRIA;Residente;131
PR;ITÁLIA;Residente;1775
PR;JAPÃO;Residente;3246
PR;AFEGANISTÃO;Temporário;332
PR;ANGOLA;Residente;397
PR;PARAGUAI;Residente;9941
PR;ESTADOS UNIDOS;Temporário;172
PR;HAITI;Temporário;3024
PR;ESPANHA;Residente;1397
PR;CUBA;Provisório;3519
PR;EGITO;Residente;154
PR;ITÁLIA;Temporário;38
PR;COLÔMBIA;Residente;2220
PR;SUÍCA;Residente;295
PR;LÍBANO;Residente;3290
PR;GUIANA;Temporário;20
PR;COLÔMBIA;Temporário;1553
PR;FRANÇA;Residente;775
PR;SÍRIA;Residente;725
PR;IÊMEN;Provisório;7
PR;POLÔNIA;Residente;807
PR;PAQUISTÃO;Residente;141
PR;CUBA;Residente;1050
PR;AUSTRIA;Residente;152
PR;BÉLGICA;Residente;155
PR;NIGÉRIA;Provisório;31
PR;CANADÁ;Residente;237
PR;RÚSSIA;Residente;236
PR;REINO UNIDO;Residente;465
PR;APÁTRIDA;Residente;138
PR;MÉXICO;Residente;318
PR;PANAMÁ;Temporário;16
PR;NORUEGA;Residente;39
PR;SAO TOMÉ E PRÍNCIPE;Temporário;6
PR;HAITI;Provisório;11
PR;PERU;Temporário;481
PR;TUNÍSIA;Residente;53
PR;UCRÂNIA;Residente;154
PR;PARAGUAI;Temporário;5894
PR;PERU;Provisório;19
PR;CORÉIA DO SUL;Residente;484
PR;CHILE;Temporário;206
PR;REP. DOMINICANA;Residente;86
PR;VENEZUELA;Provisório;1417
PR;JORDÂNIA;Residente;121
PR;BÓSNIA-HERZEGOVINA;Residente;2
PR;DINAMARCA;Residente;72
PR;EQUADOR;Residente;222
PR;ROMÊNIA;Residente;106
PR;MALÁSIA;Residente;14
PR;ANGOLA;Temporário;166
PR;EL SALVADOR;Residente;59
PR;AUSTRÁLIA;Residente;78
PR;CABO VERDE;Residente;26
PR;HUNGRIA;Residente;45
PR;GRÉCIA;Residente;58
PR;GUINÉ BISSAU;Residente;131
PR;AFRICA DO SUL;Residente;48
PR;GUINÉ BISSAU;Temporário;70
PR;INDIA;Temporário;131
PR;SÉRVIA;Temporário;1
PR;LÍBIA;Residente;121
PR;MOÇAMBIQUE;Provisório;7
PR;MARROCOS;Residente;149
PR;ANGOLA;Provisório;67
PR;TAILÂNDIA;Temporário;11
PR;SUÉCIA;Residente;128
PR;ZIMBÁBUE;Temporário;2
PR;BOLÍVIA;Temporário;225
PR;BUTÃO;Residente;2
PR;REPÚBLICA TCHECA;Residente;23
PR;RÚSSIA;Temporário;14
PR;ESPANHA;Provisório;3
PR;MALTA;Residente;23
PR;ISRAEL;Residente;51
PR;REP. DOMINICANA;Temporário;14
PR;TURQUIA;Temporário;1
PR;ARGENTINA;Temporário;141
PR;GUINÉ BISSAU;Provisório;18
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;28
PR;ALEMANHA;Temporário;49
PR;TOGO;Temporário;7
PR;PALESTINA;Residente;77
PR;NICARÁGUA;Residente;20
PR;BURUNDI;Residente;6
PR;FILIPINAS;Residente;125
PR;BULGÁRIA;Residente;17
PR;MARROCOS;Provisório;73
PR;LETÔNIA;Residente;17
PR;CUBA;Temporário;102
PR;SÍRIA;Provisório;60
PR;SÍRIA;Temporário;19
PR;IRAQUE;Residente;27
PR;TURQUIA;Residente;57
PR;MOÇAMBIQUE;Residente;41
PR;CHINA;Temporário;120
PR;JAPÃO;Temporário;51
PR;UCRÂNIA;Temporário;173
PR;ESTÔNIA;Residente;13
PR;FINLÂNDIA;Residente;39
PR;IRLANDA;Residente;34
PR;FRANÇA;Temporário;73
PR;NOVA ZELÂNDIA;Residente;32
PR;HONDURAS;Residente;23
PR;LÍBANO;Provisório;326
PR;TAIWAN, PROVINCIA DA CHINA;Residente;43
PR;CAMARÕES;Temporário;8
PR;COSTA RICA;Residente;26
PR;GUINÉ;Residente;51
PR;TUNÍSIA;Provisório;25
PR;RÚSSIA;Provisório;46
PR;PORTUGAL;Temporário;17
PR;IÊMEN;Residente;56
PR;TCHECOSLOVAQUIA;Residente;11
PR;GUATEMALA;Residente;22
PR;GUINÉ EQUATORIAL;Temporário;11
PR;IRÃ;Residente;79
PR;INDONÉSIA;Residente;44
PR;BENIN;Temporário;22
PR;SURINAME;Provisório;1
PR;REP. DOMINICANA;Provisório;27
PR;QUÊNIA;Residente;6
PR;LITUÂNIA;Residente;38
PR;CROÁCIA;Residente;8
PR;CINGAPURA;Residente;9
