UF;NACIONALIDADE;CLASSIFICACAO;QTD
RJ;ARGENTINA;Residente;13502
RJ;JAPÃO;Residente;2244
RJ;ESTADOS UNIDOS;Residente;5431
RJ;PORTUGAL;Residente;63805
RJ;ITÁLIA;Residente;7788
RJ;PAÍSES BAIXOS;Residente;1077
RJ;CHILE;Residente;2724
RJ;POLÔNIA;Residente;474
RJ;ANGOLA;Residente;2447
RJ;CHINA;Residente;5968
RJ;ESPANHA;Residente;7384
RJ;IRLANDA;Residente;161
RJ;COLÔMBIA;Residente;2815
RJ;ALEMANHA;Residente;3621
RJ;CANADÁ;Residente;572
RJ;PERU;Residente;2685
RJ;GUIANA FRANCESA;Residente;38
RJ;VENEZUELA;Residente;3077
RJ;COLÔMBIA;Temporário;1195
RJ;REINO UNIDO;Residente;2456
RJ;HAITI;Residente;1756
RJ;ESPANHA;Temporário;124
RJ;SUÉCIA;Residente;474
RJ;IRAQUE;Residente;58
RJ;CONGO;Residente;339
RJ;PERU;Temporário;795
RJ;FRANÇA;Residente;5459
RJ;GRÉCIA;Residente;259
RJ;FILIPINAS;Residente;186
RJ;BOLÍVIA;Residente;1446
RJ;MOÇAMBIQUE;Residente;60
RJ;POLÔNIA;Temporário;502
RJ;ISRAEL;Residente;243
RJ;URUGUAI;Residente;2078
RJ;PANAMÁ;Residente;100
RJ;MÉXICO;Residente;759
RJ;CABO VERDE;Residente;134
RJ;FRANÇA;Temporário;850
RJ;VENEZUELA;Temporário;1633
RJ;CONGO;Temporário;30
RJ;PARAGUAI;Residente;656
RJ;LIBÉRIA;Residente;21
RJ;SERVIA E MONTENEGRO;Residente;90
RJ;NORUEGA;Residente;567
RJ;AUSTRIA;Residente;490
RJ;SUÍCA;Residente;1166
RJ;SÍRIA;Residente;544
RJ;CUBA;Residente;727
RJ;FINLÂNDIA;Residente;138
RJ;INDIA;Residente;324
RJ;BÉLGICA;Residente;558
RJ;FILIPINAS;Temporário;1282
RJ;TOGO;Residente;31
RJ;NIGÉRIA;Residente;193
RJ;REINO UNIDO;Temporário;897
RJ;IRÃ;Residente;90
RJ;RÚSSIA;Temporário;182
RJ;CROÁCIA;Residente;35
RJ;INDONÉSIA;Residente;49
RJ;ESTADOS UNIDOS;Temporário;784
RJ;NORUEGA;Temporário;460
RJ;GUINÉ BISSAU;Temporário;22
RJ;VENEZUELA;Provisório;320
RJ;LÍBANO;Residente;603
RJ;LITUÂNIA;Residente;70
RJ;AUSTRÁLIA;Residente;296
RJ;EQUADOR;Residente;577
RJ;HAITI;Temporário;219
RJ;PARAGUAI;Temporário;112
RJ;NICARÁGUA;Residente;78
RJ;ANGOLA;Temporário;188
RJ;ROMÊNIA;Residente;194
RJ;RÚSSIA;Residente;727
RJ;ARGENTINA;Temporário;316
RJ;APÁTRIDA;Residente;97
RJ;LÍBIA;Residente;16
RJ;NOVA ZELÂNDIA;Residente;79
RJ;HUNGRIA;Residente;146
RJ;VIETINA;Residente;20
RJ;DINAMARCA;Residente;328
RJ;SAO TOMÉ E PRÍNCIPE;Residente;23
RJ;BOLÍVIA;Temporário;197
RJ;CUBA;Temporário;51
RJ;AFRICA DO SUL;Residente;152
RJ;CORÉIA DO SUL;Residente;229
RJ;EGITO;Residente;93
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;11
RJ;ALEMANHA;Temporário;283
RJ;SÉRVIA;Residente;34
RJ;HONG-KONG (R.A.E.);Residente;5
RJ;EL SALVADOR;Residente;64
RJ;MALÁSIA;Temporário;189
RJ;REPÚBLICA TCHECA;Residente;58
RJ;ESTÔNIA;Residente;26
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;145
RJ;CHILE;Temporário;529
RJ;COSTA DO MARFIM;Temporário;11
RJ;PAÍSES BAIXOS;Temporário;163
RJ;GANA;Residente;100
RJ;BULGÁRIA;Residente;34
RJ;TAIWAN, PROVINCIA DA CHINA;Residente;6
RJ;SENEGAL;Residente;334
RJ;TCHECOSLOVAQUIA;Residente;46
RJ;BÓSNIA-HERZEGOVINA;Residente;4
RJ;JAPÃO;Temporário;119
RJ;AUSTRIA;Temporário;30
RJ;MOÇAMBIQUE;Temporário;72
RJ;TURQUIA;Residente;106
RJ;EL SALVADOR;Temporário;5
RJ;UCRÂNIA;Temporário;210
RJ;TRINIDAD E TOBAGO;Temporário;10
RJ;ANGOLA;Provisório;167
RJ;GANA;Temporário;43
RJ;LETÔNIA;Residente;16
RJ;DINAMARCA;Temporário;98
RJ;AFRICA DO SUL;Temporário;82
RJ;LETÔNIA;Temporário;38
RJ;SUÍCA;Temporário;35
RJ;EQUADOR;Temporário;490
RJ;BURKINA FASO;Temporário;3
RJ;VIETINA;Temporário;5
RJ;MARROCOS;Residente;112
