UF;NACIONALIDADE;CLASSIFICACAO;QTD
RJ;JAPÃO;Residente;2248
RJ;PORTUGAL;Residente;63993
RJ;FRANÇA;Residente;5463
RJ;SUÍCA;Residente;1168
RJ;URUGUAI;Residente;2074
RJ;REINO UNIDO;Residente;2467
RJ;ESTADOS UNIDOS;Residente;5440
RJ;FRANÇA;Temporário;827
RJ;PAÍSES BAIXOS;Residente;1083
RJ;ESPANHA;Residente;7420
RJ;ALEMANHA;Residente;3622
RJ;ITÁLIA;Residente;7813
RJ;LÍBANO;Residente;602
RJ;COLÔMBIA;Residente;2813
RJ;CUBA;Provisório;169
RJ;ARGENTINA;Residente;13377
RJ;RÚSSIA;Residente;712
RJ;VENEZUELA;Residente;2991
RJ;HAITI;Residente;1742
RJ;AFRICA DO SUL;Residente;152
RJ;POLÔNIA;Residente;476
RJ;NOVA ZELÂNDIA;Residente;81
RJ;VENEZUELA;Temporário;1651
RJ;CHILE;Residente;2720
RJ;CHINA;Residente;6005
RJ;ANGOLA;Residente;2436
RJ;COLÔMBIA;Temporário;1172
RJ;SUÉCIA;Residente;477
RJ;REINO UNIDO;Temporário;877
RJ;ROMÊNIA;Residente;194
RJ;EQUADOR;Residente;570
RJ;ARGENTINA;Temporário;305
RJ;PERU;Residente;2685
RJ;PAÍSES BAIXOS;Temporário;165
RJ;EQUADOR;Temporário;491
RJ;PARAGUAI;Temporário;108
RJ;VENEZUELA;Provisório;333
RJ;MALÁSIA;Temporário;181
RJ;NIGÉRIA;Temporário;34
RJ;BOLÍVIA;Residente;1449
RJ;AUSTRIA;Residente;490
RJ;ESTADOS UNIDOS;Temporário;743
RJ;RÚSSIA;Temporário;178
RJ;ANGOLA;Provisório;180
RJ;LÍBIA;Residente;16
RJ;SÍRIA;Residente;544
RJ;PERU;Temporário;787
RJ;ROMÊNIA;Temporário;154
RJ;NICARÁGUA;Residente;78
RJ;PORTUGAL;Temporário;283
RJ;GANA;Temporário;44
RJ;CUBA;Residente;722
RJ;COLÔMBIA;Provisório;135
RJ;MÉXICO;Residente;756
RJ;INDIA;Residente;322
RJ;HUNGRIA;Residente;146
RJ;AUSTRÁLIA;Residente;298
RJ;CORÉIA DO SUL;Residente;230
RJ;JAPÃO;Temporário;125
RJ;DINAMARCA;Residente;330
RJ;CHILE;Temporário;529
RJ;FILIPINAS;Residente;187
RJ;TURQUIA;Residente;108
RJ;CHINA;Temporário;230
RJ;PANAMÁ;Residente;101
RJ;CANADÁ;Residente;574
RJ;BULGÁRIA;Residente;34
RJ;IRÃ;Residente;92
RJ;CANADÁ;Temporário;95
RJ;ESPANHA;Temporário;121
RJ;DINAMARCA;Temporário;101
RJ;ALEMANHA;Temporário;274
RJ;BÉLGICA;Residente;560
RJ;AUSTRÁLIA;Temporário;46
RJ;HAITI;Temporário;223
RJ;IRAQUE;Residente;57
RJ;MÉXICO;Temporário;259
RJ;TURQUIA;Temporário;108
RJ;NORUEGA;Temporário;434
RJ;ITÁLIA;Temporário;194
RJ;CABO VERDE;Temporário;16
RJ;NORUEGA;Residente;565
RJ;POLÔNIA;Temporário;513
RJ;RÚSSIA;Provisório;61
RJ;REP. DOMINICANA;Residente;78
RJ;ISRAEL;Residente;243
RJ;PARAGUAI;Residente;657
RJ;ANGOLA;Temporário;166
RJ;PAQUISTÃO;Residente;78
RJ;CABO VERDE;Residente;134
RJ;GRÉCIA;Residente;260
RJ;TCHECOSLOVAQUIA;Residente;46
RJ;EGITO;Residente;94
RJ;LIBÉRIA;Residente;21
RJ;PAQUISTÃO;Provisório;6
RJ;UCRÂNIA;Residente;80
RJ;CROÁCIA;Residente;35
RJ;FILIPINAS;Temporário;1277
RJ;SÉRVIA;Residente;34
RJ;NIGÉRIA;Residente;195
RJ;VIETINA;Residente;20
RJ;CONGO;Residente;339
RJ;GRÉCIA;Temporário;24
RJ;CONGO;Temporário;30
RJ;SERVIA E MONTENEGRO;Residente;90
RJ;APÁTRIDA;Residente;97
RJ;SENEGAL;Residente;332
RJ;BÉLGICA;Temporário;50
RJ;ESTÔNIA;Residente;26
RJ;HONDURAS;Temporário;17
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;145
RJ;SUDÃO;Residente;2
RJ;ARÁBIA SAUDITA;Residente;8
RJ;REP. DOMINICANA;Temporário;73
RJ;AFEGANISTÃO;Temporário;169
RJ;EL SALVADOR;Residente;62
RJ;PAÍSES BAIXOS;Provisório;4
RJ;BÓSNIA-HERZEGOVINA;Residente;4
RJ;IRÃ;Temporário;23
RJ;INDIA;Temporário;456
RJ;INDONÉSIA;Temporário;69
RJ;CROÁCIA;Temporário;103
RJ;IRLANDA;Residente;161
RJ;GANA;Residente;99
RJ;MARROCOS;Residente;112
RJ;FINLÂNDIA;Residente;139
RJ;GUATEMALA;Residente;58
RJ;MOÇAMBIQUE;Residente;59
RJ;CINGAPURA;Temporário;39
RJ;MYANMAR;Temporário;48
RJ;CAMARÕES;Residente;44
RJ;REPÚBLICA TCHECA;Residente;56
RJ;BANGLADESH;Residente;18
RJ;BURKINA FASO;Residente;8
RJ;JAMAICA;Temporário;15
RJ;MALÁSIA;Residente;57
RJ;HONDURAS;Residente;48
RJ;SENEGAL;Temporário;31
RJ;GUINÉ BISSAU;Residente;84
RJ;ARGÉLIA;Residente;41
RJ;ZIMBÁBUE;Temporário;1
RJ;BURUNDI;Residente;1
RJ;GUIANA FRANCESA;Residente;38
RJ;MALI;Residente;8
RJ;COSTA RICA;Residente;91
RJ;ZIMBÁBUE;Residente;10
RJ;COSTA RICA;Temporário;12
RJ;UCRÂNIA;Provisório;4
RJ;TRINIDAD E TOBAGO;Residente;39
RJ;LITUÂNIA;Residente;70
RJ;NOVA ZELÂNDIA;Temporário;11
RJ;MOÇAMBIQUE;Temporário;72
RJ;GUINÉ EQUATORIAL;Provisório;1
RJ;COSTA DO MARFIM;Temporário;12
RJ;BULGÁRIA;Provisório;1
RJ;VIETINA;Temporário;5
RJ;SUÍCA;Temporário;34
RJ;IRLANDA;Temporário;30
RJ;AFRICA DO SUL;Temporário;87
RJ;MALTA;Temporário;6
RJ;UNIÃO SOVIÉTICA;Residente;19
RJ;INDONÉSIA;Residente;49
RJ;BENIN;Temporário;31
RJ;CUBA;Temporário;53
RJ;TAILÂNDIA;Residente;33
RJ;MAURÍCIO;Residente;5
RJ;BOLÍVIA;Provisório;8
RJ;ARMÊNIA;Residente;12
RJ;ARGENTINA;Provisório;14
RJ;CINGAPURA;Residente;50
RJ;PALESTINA;Residente;21
RJ;TUNÍSIA;Residente;39
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;25
RJ;CAZAQUISTÃO;Residente;16
RJ;UCRÂNIA;Temporário;208
RJ;IUGUSLAVIA;Temporário;1
RJ;MOÇAMBIQUE;Provisório;5
RJ;BOLÍVIA;Temporário;196
RJ;ESLOVÊNIA;Residente;19
RJ;AFEGANISTÃO;Provisório;11
RJ;JAMAICA;Residente;5
RJ;GUINÉ BISSAU;Temporário;21
RJ;BULGÁRIA;Temporário;39
RJ;GABÃO;Residente;6
RJ;ARMÊNIA;Temporário;3
RJ;SUÉCIA;Temporário;40
RJ;MOLDOVA;Residente;11
RJ;AUSTRIA;Temporário;29
RJ;GUINÉ;Residente;26
RJ;SAO TOMÉ E PRÍNCIPE;Residente;23
RJ;BANGLADESH;Temporário;11
RJ;GUATEMALA;Temporário;6
RJ;ISRAEL;Temporário;12
RJ;PORTUGAL;Provisório;4
RJ;KUAITE;Residente;1
RJ;TOGO;Residente;30
RJ;GEÓRGIA;Residente;2
RJ;ESLOVÁQUIA;Residente;18
RJ;BELARUS;Residente;32
RJ;GUINÉ BISSAU;Provisório;4
RJ;BAHAMA,IS;Residente;3
RJ;SAO TOMÉ E PRÍNCIPE;Temporário;6
RJ;TRINIDAD E TOBAGO;Temporário;10
RJ;LIECHTENSTEIN;Residente;8
RJ;CAMARÕES;Provisório;5
RJ;TURCOMENISTÃO;Temporário;1
RJ;GANA;Provisório;3
RJ;PARAGUAI;Provisório;2
RJ;MONGÓLIA;Residente;1
RJ;BELARUS;Provisório;4
RJ;MALI;Temporário;1
RJ;INDIA;Provisório;1
RJ;SRI LANKA;Residente;9
RJ;UZBEQUISTÃO;Residente;8
RJ;KUAITE;Temporário;1
RJ;TOGO;Temporário;3
RJ;CAMARÕES;Temporário;12
RJ;UGANDA;Temporário;1
RJ;GABÃO;Temporário;23
RJ;QUÊNIA;Residente;11
RJ;LETÔNIA;Residente;16
RJ;FINLÂNDIA;Temporário;24
RJ;FEROES, IS;Residente;2
RJ;EQUADOR;Provisório;7
RJ;JORDÂNIA;Residente;58
RJ;LITUÂNIA;Temporário;35
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;13
RJ;CORÉIA DO SUL;Provisório;2
RJ;NAMÍBIA;Temporário;4
RJ;MALTA;Residente;5
RJ;HUNGRIA;Temporário;5
RJ;QUÊNIA;Temporário;8
RJ;SERRA LEOA;Residente;13
RJ;GUINÉ EQUATORIAL;Residente;2
RJ;URUGUAI;Temporário;16
RJ;REPÚBLICA TCHECA;Temporário;8
RJ;FRANÇA;Provisório;6
RJ;GUINÉ EQUATORIAL;Temporário;12
RJ;PERU;Provisório;5
RJ;MARROCOS;Temporário;8
RJ;IRÃ;Provisório;8
RJ;EGITO;Temporário;9
RJ;PORTO RICO;Residente;6
RJ;LETÔNIA;Temporário;40
RJ;LÍBANO;Provisório;2
RJ;BHUTAN;Residente;2
RJ;SOMÁLIA;Residente;1
RJ;QUIRGUISTÃO;Residente;6
RJ;SANTA HELENA;Residente;1
RJ;PANAMÁ, ZONA DO CANAL;Residente;1
RJ;BENIN;Residente;33
RJ;REP. DOMINICANA;Provisório;5
RJ;TURQUIA;Provisório;7
RJ;GUADALUPE;Residente;1
RJ;REP. MONTENEGRO;Temporário;7
RJ;CHINA;Provisório;5
RJ;TUNÍSIA;Temporário;2
RJ;TOGO;Provisório;4
RJ;TAIWAN, PROVINCIA DA CHINA;Residente;6
RJ;IÊMEN;Residente;7
RJ;ESLOVÁQUIA;Temporário;5
RJ;CONGO;Provisório;5
RJ;SUÍCA;Provisório;1
RJ;EL SALVADOR;Temporário;5
RJ;PANAMÁ;Temporário;6
RJ;TUNÍSIA;Provisório;2
RJ;MARROCOS;Provisório;14
RJ;TAILÂNDIA;Temporário;86
RJ;LUXEMBURGO;Residente;11
RJ;SÉRVIA;Temporário;9
RJ;CHIPRE;Residente;1
RJ;SAN MARINO;Residente;2
RJ;ETIÓPIA;Temporário;1
RJ;GUINÉ;Provisório;3
RJ;SRI LANKA;Temporário;1
RJ;HONG-KONG (R.A.E.);Residente;5
RJ;ALBÂNIA;Residente;7
RJ;NAMÍBIA;Residente;3
RJ;ESTADOS UNIDOS;Provisório;4
RJ;RUANDA;Temporário;2
RJ;CAZAQUISTÃO;Temporário;4
RJ;ISLÂNDIA;Residente;8
RJ;CHILE;Provisório;2
RJ;LÍBIA;Temporário;1
RJ;CANADÁ;Provisório;1
RJ;SENEGAL;Provisório;2
RJ;BARBADOS;Residente;5
RJ;TURCAS E CAICOS;Residente;1
RJ;UGANDA;Residente;3
RJ;COSTA DO MARFIM;Provisório;1
RJ;MASCATE;Residente;1
RJ;REP. CENTRO AFRICANA;Residente;2
RJ;ZÂMBIA;Residente;4
RJ;BANGLADESH;Provisório;2
RJ;SÍRIA;Temporário;6
RJ;CORÉIA DO SUL;Temporário;34
RJ;ETIÓPIA;Residente;3
RJ;ZÂMBIA;Temporário;3
RJ;PAQUISTÃO;Temporário;16
RJ;TURCOMENISTÃO;Residente;3
RJ;FILIPINAS;Provisório;10
RJ;COSTA DO MARFIM;Residente;16
RJ;HAITI;Provisório;4
RJ;SÍRIA;Provisório;4
RJ;TAILÂNDIA;Provisório;1
RJ;AZERBAIJÃO;Temporário;8
RJ;EGITO;Provisório;2
RJ;LÍBANO;Temporário;7
RJ;FINLÂNDIA;Provisório;1
RJ;NIGÉRIA;Provisório;7
RJ;GEÓRGIA;Temporário;5
RJ;VIETNAM DO NORTE;Residente;6
RJ;POLINÉSIA FRANCESA;Residente;1
RJ;NACIONALIDADE INDEFINIDA;Provisório;1
RJ;GUIANA;Temporário;2
RJ;GUIANA;Residente;3
RJ;BARBADOS;Temporário;2
RJ;ZIMBÁBUE;Provisório;1
RJ;ARGÉLIA;Temporário;3
RJ;GÂMBIA;Provisório;1
RJ;SUAZILÂNDIA;Residente;1
RJ;AZERBAIJÃO;Residente;2
RJ;IÊMEN;Provisório;1
RJ;TANZÂNIA;Temporário;3
RJ;MÔNACO;Residente;1
RJ;IUGUSLAVIA;Residente;1
RJ;SURINAME;Residente;4
RJ;UGANDA;Provisório;3
RJ;AFEGANISTÃO;Residente;13
RJ;CHADE;Residente;1
RJ;Montenegro;Residente;3
RJ;NICARÁGUA;Provisório;2
RJ;BENIN;Provisório;2
RJ;ESTÔNIA;Temporário;2
RJ;AFRICA DO SUL;Provisório;1
RJ;SAMOA OCIDENTAL;Residente;2
RJ;ITÁLIA;Provisório;3
RJ;ANDORRA;Residente;2
RJ;FIJI, ILHAS;Temporário;2
RJ;URUGUAI;Provisório;1
RJ;BURKINA FASO;Temporário;3
RJ;ALEMANHA;Provisório;2
RJ;GEÓRGIA;Provisório;1
RJ;MÉXICO;Provisório;6
RJ;MADAGASCAR;Residente;3
RJ;HONDURAS;Provisório;1
RJ;FIJI, ILHAS;Residente;1
RJ;MADAGASCAR;Temporário;1
RJ;NACIONALIDADE INDEFINIDA;Residente;4
RJ;IRAQUE;Provisório;2
RJ;CHIPRE;Temporário;1
RJ;TREGUA, ESTADO;Residente;1
RJ;TERRIT. BRIT. DO OCEANO INDICO;Residente;1
RJ;NÍGER;Temporário;3
RJ;POLÔNIA;Residente;1
RJ;NEPAL;Provisório;1
RJ;ANTÍGUA;Residente;1
RJ;DOMINICA;Temporário;1
RJ;ISRAEL;Provisório;1
RJ;GUATEMALA;Provisório;1
RJ;LUXEMBURGO;Temporário;1
MT;VENEZUELA;Temporário;6638
MT;HAITI;Residente;4810
MT;ARGENTINA;Residente;188
MT;BOLÍVIA;Temporário;451
MT;CANADÁ;Residente;28
MT;VENEZUELA;Residente;3243
MT;REP. DOMINICANA;Provisório;22
MT;CUBA;Provisório;295
MT;COLÔMBIA;Provisório;47
MT;BOLÍVIA;Provisório;20
MT;VENEZUELA;Provisório;848
MT;PORTUGAL;Residente;507
MT;ARGENTINA;Temporário;29
MT;PARAGUAI;Temporário;184
MT;BOLÍVIA;Residente;1546
MT;COLÔMBIA;Temporário;270
MT;HAITI;Temporário;662
MT;REPÚBLICA TCHECA;Residente;1
MT;ESTADOS UNIDOS;Residente;282
MT;PARAGUAI;Residente;461
MT;LÍBANO;Residente;110
MT;JAPÃO;Residente;194
MT;APÁTRIDA;Residente;27
MT;ITÁLIA;Residente;212
MT;PERU;Residente;206
MT;PERU;Temporário;62
MT;INDIA;Residente;21
MT;CHINA;Residente;57
MT;FRANÇA;Residente;91
MT;REINO UNIDO;Residente;53
MT;CHILE;Residente;91
MT;ESPANHA;Residente;175
MT;ALEMANHA;Residente;103
MT;SENEGAL;Residente;65
MT;URUGUAI;Residente;60
MT;INDONÉSIA;Temporário;1
MT;EQUADOR;Temporário;18
MT;COLÔMBIA;Residente;294
MT;NIGÉRIA;Residente;7
MT;LÍBANO;Provisório;7
MT;ANGOLA;Temporário;6
MT;BÉLGICA;Residente;17
MT;PARAGUAI;Provisório;5
MT;ESTADOS UNIDOS;Temporário;19
MT;ALEMANHA;Temporário;9
MT;GUIANA FRANCESA;Provisório;3
MT;CUBA;Residente;189
MT;GUATEMALA;Residente;2
MT;AUSTRIA;Residente;15
MT;ROMÊNIA;Residente;10
MT;HAITI;Provisório;11
MT;CORÉIA DO SUL;Residente;21
MT;EQUADOR;Provisório;2
MT;PAÍSES BAIXOS;Residente;31
MT;AUSTRÁLIA;Residente;8
MT;GUINÉ;Residente;13
MT;URUGUAI;Temporário;4
MT;SUÍCA;Residente;30
MT;CHINA;Temporário;5
MT;MÉXICO;Residente;18
MT;MARROCOS;Residente;13
MT;CAZAQUISTÃO;Residente;1
MT;SURINAME;Provisório;1
MT;MARROCOS;Provisório;3
MT;FILIPINAS;Provisório;20
MT;SÍRIA;Residente;11
MT;CUBA;Temporário;13
MT;REP. DOMINICANA;Temporário;5
MT;FRANÇA;Temporário;5
MT;PORTUGAL;Temporário;6
MT;REP. DOMINICANA;Residente;17
MT;EGITO;Residente;14
MT;ANGOLA;Residente;16
MT;UCRÂNIA;Residente;4
MT;JORDÂNIA;Residente;19
MT;UCRÂNIA;Temporário;1
MT;ROMÊNIA;Temporário;2
MT;BANGLADESH;Residente;1
MT;GUINÉ BISSAU;Residente;6
MT;IÊMEN;Residente;2
MT;DINAMARCA;Temporário;2
MT;AFRICA DO SUL;Residente;3
MT;POLÔNIA;Residente;18
MT;EL SALVADOR;Residente;12
MT;HUNGRIA;Residente;4
MT;IRÃ;Residente;10
MT;CONGO;Residente;3
MT;BURKINA FASO;Residente;3
MT;RÚSSIA;Residente;10
MT;CABO VERDE;Residente;8
MT;ITÁLIA;Temporário;16
MT;FILIPINAS;Residente;7
MT;NORUEGA;Residente;3
MT;IRAQUE;Residente;5
MT;TURQUIA;Provisório;1
MT;GUINÉ;Provisório;1
MT;SUDÃO;Residente;18
MT;EQUADOR;Residente;30
MT;TURQUIA;Residente;4
MT;JAMAICA;Residente;1
MT;PERU;Provisório;10
MT;ANGOLA;Provisório;1
MT;CAZAQUISTÃO;Temporário;1
MT;GUINÉ BISSAU;Temporário;13
MT;INDIA;Provisório;1
MT;GUIANA FRANCESA;Residente;5
MT;MALTA;Residente;1
MT;FINLÂNDIA;Residente;3
MT;GANA;Temporário;1
MT;REINO UNIDO;Temporário;1
MT;MOÇAMBIQUE;Temporário;7
MT;HONDURAS;Residente;4
MT;DOMINICA;Provisório;5
MT;ESTÔNIA;Residente;2
MT;INDIA;Temporário;2
MT;CHILE;Temporário;3
MT;MOÇAMBIQUE;Residente;6
MT;MADAGASCAR;Residente;3
MT;PORTUGAL;Provisório;2
MT;GANA;Residente;3
MT;GRÉCIA;Residente;2
MT;TRINIDAD E TOBAGO;Provisório;1
MT;ARGÉLIA;Provisório;1
MT;DINAMARCA;Residente;3
MT;PANAMÁ;Residente;7
MT;ARGÉLIA;Residente;4
MT;ARGENTINA;Provisório;4
MT;HONDURAS;Temporário;1
MT;HUNGRIA;Provisório;1
MT;PALESTINA;Residente;5
MT;NICARÁGUA;Temporário;3
MT;PAQUISTÃO;Residente;2
MT;GUINÉ BISSAU;Provisório;2
MT;GUIANA;Temporário;4
MT;SUÉCIA;Residente;3
MT;TUNÍSIA;Residente;1
MT;IRLANDA;Residente;6
MT;VIETINA;Residente;1
MT;GUINÉ;Temporário;4
MT;MÉXICO;Provisório;2
MT;BÉLGICA;Temporário;1
MT;SERVIA E MONTENEGRO;Residente;2
MT;TUNÍSIA;Provisório;3
MT;ESLOVÊNIA;Residente;1
MT;FRANÇA;Provisório;2
MT;MÉXICO;Temporário;3
MT;URUGUAI;Provisório;3
MT;COSTA RICA;Residente;2
MT;TOGO;Provisório;1
MT;CABO VERDE;Provisório;1
MT;IÊMEN;Temporário;1
MT;GUIANA;Residente;1
MT;CHILE;Provisório;3
MT;MOÇAMBIQUE;Provisório;2
MT;ISRAEL;Residente;3
MT;RÚSSIA;Temporário;2
MT;ESPANHA;Temporário;3
MT;BANGLADESH;Temporário;2
MT;CAMARÕES;Residente;1
MT;MAURITÂNIA;Residente;1
MT;SUÉCIA;Temporário;1
MT;LITUÂNIA;Residente;2
MT;ESPANHA;Provisório;1
SP;LÍBANO;Residente;6194
SP;BOLÍVIA;Residente;87902
SP;ESPANHA;Residente;21982
SP;CORÉIA DO SUL;Residente;15730
SP;BANGLADESH;Residente;1555
SP;PERU;Residente;14498
SP;EQUADOR;Temporário;1745
SP;PARAGUAI;Residente;10306
SP;PAÍSES BAIXOS;Residente;2454
SP;HAITI;Temporário;4805
SP;BOLÍVIA;Temporário;28245
SP;PORTUGAL;Residente;73626
SP;CHINA;Residente;36635
SP;ITÁLIA;Residente;24139
SP;ESTÔNIA;Residente;65
SP;PARAGUAI;Temporário;2428
SP;VENEZUELA;Temporário;17006
SP;VENEZUELA;Residente;15915
