UF;NACIONALIDADE;CLASSIFICACAO;QTD
RS;VENEZUELA;Residente;10582
RS;ESPANHA;Residente;840
RS;FRANÇA;Residente;410
RS;ARGENTINA;Residente;7310
RS;CORÉIA DO SUL;Temporário;21
RS;VENEZUELA;Temporário;18896
RS;URUGUAI;Residente;31558
RS;VENEZUELA;Provisório;1319
RS;HAITI;Residente;14204
RS;CHINA;Provisório;5
RS;COLÔMBIA;Residente;1938
RS;HAITI;Temporário;2170
RS;PORTUGAL;Residente;1888
RS;ALEMANHA;Residente;1323
RS;ANGOLA;Residente;108
RS;CUBA;Temporário;112
RS;PERU;Residente;831
RS;COLÔMBIA;Temporário;1098
RS;EL SALVADOR;Residente;60
RS;CUBA;Provisório;1076
RS;ESTADOS UNIDOS;Residente;902
RS;ITÁLIA;Residente;1367
RS;PARAGUAI;Residente;840
RS;CHILE;Residente;1272
RS;BENIN;Temporário;23
RS;CUBA;Residente;1015
RS;JAPÃO;Residente;861
RS;MÉXICO;Residente;179
RS;SENEGAL;Residente;3297
RS;VIETINA;Residente;4
RS;PANAMÁ;Residente;43
RS;CORÉIA DO SUL;Residente;153
RS;RÚSSIA;Residente;172
RS;POLÔNIA;Residente;318
RS;BOLÍVIA;Residente;361
RS;EGITO;Residente;40
RS;PERU;Temporário;250
RS;SENEGAL;Temporário;96
RS;REP. DOMINICANA;Residente;160
RS;CHINA;Residente;636
RS;EQUADOR;Residente;203
RS;REINO UNIDO;Residente;292
RS;NICARÁGUA;Residente;40
RS;APÁTRIDA;Residente;86
RS;CANADÁ;Residente;137
RS;CABO VERDE;Temporário;24
RS;MALÁSIA;Residente;44
RS;AFEGANISTÃO;Residente;24
RS;PAÍSES BAIXOS;Residente;199
RS;CHILE;Temporário;163
RS;ANGOLA;Temporário;67
RS;SÍRIA;Residente;79
RS;JORDÂNIA;Residente;471
RS;MOÇAMBIQUE;Temporário;114
RS;PAQUISTÃO;Residente;53
RS;ESPANHA;Temporário;20
RS;INDIA;Residente;45
RS;MÉXICO;Temporário;56
RS;LÍBANO;Residente;129
RS;FINLÂNDIA;Temporário;17
RS;PAQUISTÃO;Temporário;27
RS;ESTADOS UNIDOS;Temporário;161
RS;AUSTRÁLIA;Residente;70
RS;EQUADOR;Temporário;154
RS;CONGO;Temporário;16
RS;COSTA DO MARFIM;Residente;8
RS;HAITI;Provisório;8
RS;SUÍCA;Residente;110
RS;ALEMANHA;Temporário;55
RS;MALI;Residente;8
